Year,ID1,Latitude,Longitude,Elevation,MAT,MAP
1954,South Fork Middle Fork Tule,36.13756,-118.574097,1664,9.9,848
1954,Sweetwater Creek,37.64232,-119.924797,370,15.1,667
1954,Sweetwater River,32.89913,-116.586502,1386,12.7,827
1954,Wawona,37.53822,-119.651398,1208,11.6,1004
1954,West Fork Mojave River,34.28425,-117.375397,1087,13.7,765
1954,Whitewater Canyon,33.99329,-116.662697,696,17.7,430
1954,Willow Creek,39.45785,-121.061798,748,13.5,1484
1955,Bear Creek,36.20696,-118.726898,1119,12.9,667
1955,Buck Meadows,37.77722,-120.063301,830,12.7,988
1955,Canton Creek,43.4137,-122.780403,503,9.3,1741
1955,Carlon,37.81006,-119.856796,1320,10.1,1074
1955,Cherokee Creek,39.55384,-120.987801,1289,11,1881
1955,Chino Creek,39.73262,-121.4039,776,12.9,1715
1955,Coast Fork of Williamette,43.6517,-123.087997,254,9.5,1604
1955,Corral Creek,35.8529,-118.447304,982,14.1,318
1955,Deep Creek,41.66546,-123.113403,694,11.6,192
1955,Deer Creek,42.27525,-123.639999,387,10.8,1658
1955,Fiddle Creek,39.5204,-120.998199,706,12.6,1620
1955,Hauser Creek,32.65822,-116.532303,788,13.7,254
1955,Kitchen Creek,32.75206,-116.452202,1173,12.2,364
1955,Little Jameson Creek,39.74298,-120.704002,1592,7.6,1234
1955,Little North Fork Middle Fork Feather,39.71209,-121.274803,510,13.1,1644
1955,Mill Creek,34.07808,-116.875603,1992,7.6,562
1955,Moss Creek Merced Drainage,37.67203,-119.818199,529,13.6,903
1955,North Fork Middle Fork Tule,36.20081,-118.650902,1284,11.9,729
1955,North Fork Tuolumne,37.98555,-120.204498,689,13.5,972
1955,O'Neil Creek,41.80979,-123.118896,487,11.3,926
1955,Oregon Creek,39.39704,-121.082001,448,14.5,1419
1955,Paradise Creek,36.51883,-118.7603,887,13.8,695
1955,Rainbow Pool,37.81878,-120.007301,833,12.3,987
1955,Redwood Creek,36.68952,-118.909599,1677,9.1,886
1955,Rock Creek,43.37876,-122.952103,295,9.7,1863
1955,South Fork Middle Fork Tule,36.13756,-118.574097,1664,9.2,840
1955,Sweetwater Creek,37.64232,-119.924797,370,14.4,735
1955,Sweetwater River,32.89913,-116.586502,1386,11.9,518
1955,Wawona,37.53822,-119.651398,1208,10.9,1113
1955,West Fork Mojave River,34.28425,-117.375397,1087,13.5,523
1955,Whitewater Canyon,33.99329,-116.662697,696,17.1,193
1955,Willow Creek,39.45785,-121.061798,748,13,1461
1956,Bear Creek,36.20696,-118.726898,1119,13.2,587
1956,Buck Meadows,37.77722,-120.063301,830,13.1,618
1956,Canton Creek,43.4137,-122.780403,503,10,1545
1956,Carlon,37.81006,-119.856796,1320,10.4,768
1956,Cherokee Creek,39.55384,-120.987801,1289,11.1,1688
1956,Chino Creek,39.73262,-121.4039,776,13.2,1406
1956,Coast Fork of Williamette,43.6517,-123.087997,254,10.2,1330
1956,Corral Creek,35.8529,-118.447304,982,14.6,309
1956,Deep Creek,41.66546,-123.113403,694,11.9,215
1956,Deer Creek,42.27525,-123.639999,387,11.2,1930
1956,Fiddle Creek,39.5204,-120.998199,706,12.6,1486
1956,Hauser Creek,32.65822,-116.532303,788,14.1,139
1956,Kitchen Creek,32.75206,-116.452202,1173,12.6,206
