Site,ID,ID2,Site_Lat,Lat,Long,Elevation,Lat_spei,Long_spei,Year,SPEI
5,S32,Wawona,5_37.5,37.539,-119.654,1214,35.75,-119.75,2012,0.2911234200000763
6,S29,Oregon Creek,6_39.4,39.39442,-121.08302,440,39.25,-121.25,2012,-0.964013934135437
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,1593,39.75,-120.75,2012,-0.9420478343963623
8,S17,Deep Creek,8_41.7,41.66546,-123.11341,680,41.75,-123.25,2012,-0.263492614030838
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,1092,41.75,-123.25,2012,-0.263492614030838
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,393,42.25,-123.75,2012,-0.04299665987491608
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,1168,43.25,-122.75,2012,-0.008432397618889809
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,1168,32.75,-116.75,2013,-0.9797968864440918
12,S11,Mill Creek,12_34.1,34.07808,-116.87558,1990,34.25,-116.75,2013,-0.758017361164093
2,S07,West Fork Mojave River,2_34.3,34.28425,-117.37539,1092,34.25,-117.25,2013,-0.8880302906036377
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,1288,36.25,-118.75,2013,-0.9291136264801025
4,S08,Redwood Creek,4_36.7,36.69096,-118.90961,1682,36.75,-118.75,2013,-0.8360649943351746
5,S32,Wawona,5_37.5,37.539,-119.654,1214,35.75,-119.75,2013,-0.7878220677375793
6,S29,Oregon Creek,6_39.4,39.39442,-121.08302,440,39.25,-121.25,2013,-0.8910396695137024
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,1593,39.75,-120.75,2013,-0.6824718713760376
8,S17,Deep Creek,8_41.7,41.66546,-123.11341,680,41.75,-123.25,2013,-0.36844682693481445
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,1092,41.75,-123.25,2013,-0.36844682693481445
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,393,42.25,-123.75,2013,-0.29145610332489014
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,1168,43.25,-122.75,2013,0.10422508418560028
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,1168,32.75,-116.75,2014,-1.712352991104126
12,S11,Mill Creek,12_34.1,34.07808,-116.87558,1990,34.25,-116.75,2014,-1.437199354171753
2,S07,West Fork Mojave River,2_34.3,34.28425,-117.37539,1092,34.25,-117.25,2014,-1.6850093603134155
