Order,Family,Block,Treatment,Site,Year
2015,84,4,W,,
828,85,1,D,,
1277,85,2,D,,
2595,85,3,D,,
2934,85,4,D,,
284,85,1,W,,
616,85,2,W,,
1616,85,3,W,,
2064,85,4,W,,
1014,86,1,D,,
1391,86,2,D,,
2456,86,3,D,,
2789,86,4,D,,
89,86,1,W,,
670,86,2,W,,
1837,86,3,W,,
1968,86,4,W,,
822,87,1,D,,
1212,87,2,D,,
2642,87,3,D,,
2736,87,4,D,,
99,87,1,W,,
533,87,2,W,,
1552,87,3,W,,
2161,87,4,W,,
1114,88,1,D,,
1417,88,2,D,,
2319,88,3,D,,
2862,88,4,D,,
155,88,1,W,,
608,88,2,W,,
1872,88,3,W,,
1966,88,4,W,,
909,89,1,D,,
1215,89,2,D,,
2486,89,3,D,,
2765,89,4,D,,
202,89,1,W,,
733,89,2,W,,
1775,89,3,W,,
2264,89,4,W,,
787,90,1,D,,
1370,90,2,D,,
2575,90,3,D,,
2784,90,4,D,,
272,90,1,W,,
602,90,2,W,,
1916,90,3,W,,
1991,90,4,W,,
987,91,1,D,,
1193,91,2,D,,
2375,91,3,D,,
2727,91,4,D,,
107,91,1,W,,
421,91,2,W,,
1819,91,3,W,,
2116,91,4,W,,
1088,92,1,D,,
1362,92,2,D,,
2441,92,3,D,,
2699,92,4,D,,
217,92,1,W,,
742,92,2,W,,
1587,92,3,W,,
1944,92,4,W,,
1020,93,1,D,,
1464,93,2,D,,
2431,93,3,D,,
2766,93,4,D,,
116,93,1,W,,
504,93,2,W,,
1666,93,3,W,,
2178,93,4,W,,
871,94,1,D,,
1225,94,2,D,,
2562,94,3,D,,
2742,94,4,D,,
218,94,1,W,,
681,94,2,W,,
1593,94,3,W,,
2009,94,4,W,,
1132,95,1,D,,
1327,95,2,D,,
2505,95,3,D,,
2809,95,4,D,,
227,95,1,W,,
683,95,2,W,,
1857,95,3,W,,
2244,95,4,W,,
1074,96,1,D,,
1395,96,2,D,,
2502,96,3,D,,
2897,96,4,D,,
330,96,1,W,,
635,96,2,W,,
1814,96,3,W,,
2278,96,4,W,,
927,97,1,D,,
1246,97,2,D,,
2390,97,3,D,,
3011,97,4,D,,
276,97,1,W,,
471,97,2,W,,
1566,97,3,W,,
2071,97,4,W,,
1022,98,1,D,,
1438,98,2,D,,
2386,98,3,D,,
3034,98,4,D,,
95,98,1,W,,
432,98,2,W,,
1748,98,3,W,,
1997,98,4,W,,
904,99,1,D,,
1483,99,2,D,,
2425,99,3,D,,
3060,99,4,D,,
85,99,1,W,,
462,99,2,W,,
1903,99,3,W,,
2052,99,4,W,,
1045,100,1,D,,
1496,100,2,D,,
2349,100,3,D,,
2810,100,4,D,,
212,100,1,W,,
534,100,2,W,,
1862,100,3,W,,
2142,100,4,W,,
1050,101,1,D,,
1490,101,2,D,,
2623,101,3,D,,
2718,101,4,D,,
331,101,1,W,,
760,101,2,W,,
1726,101,3,W,,
2187,101,4,W,,
925,102,1,D,,
1504,102,2,D,,
2550,102,3,D,,
2813,102,4,D,,
333,102,1,W,,
437,102,2,W,,
1742,102,3,W,,
2255,102,4,W,,
922,103,1,D,,
1472,103,2,D,,
2543,103,3,D,,
2767,103,4,D,,
123,103,1,W,,
767,103,2,W,,
1800,103,3,W,,
2001,103,4,W,,
1077,104,1,D,,
1339,104,2,D,,
2603,104,3,D,,
2836,104,4,D,,
371,104,1,W,,
652,104,2,W,,
1599,104,3,W,,
2284,104,4,W,,
1107,105,1,D,,
1526,105,2,D,,
2467,105,3,D,,
2826,105,4,D,,
270,105,1,W,,
651,105,2,W,,
1548,105,3,W,,
2232,105,4,W,,
827,106,1,D,,
1256,106,2,D,,
2411,106,3,D,,
2763,106,4,D,,
131,106,1,W,,
747,106,2,W,,
1629,106,3,W,,
2201,106,4,W,,
931,107,1,D,,
1358,107,2,D,,
2461,107,3,D,,
2830,107,4,D,,
173,107,1,W,,
486,107,2,W,,
1844,107,3,W,,
2295,107,4,W,,
929,108,1,D,,
1422,108,2,D,,
2410,108,3,D,,
2919,108,4,D,,
5,108,1,W,,
746,108,2,W,,
1809,108,3,W,,
2209,108,4,W,,
1080,109,1,D,,
1350,109,2,D,,
2466,109,3,D,,
2839,109,4,D,,
326,109,1,W,,
544,109,2,W,,
1784,109,3,W,,
1963,109,4,W,,
833,110,1,D,,
1293,110,2,D,,
2344,110,3,D,,
2872,110,4,D,,
133,110,1,W,,
430,110,2,W,,
1731,110,3,W,,
2005,110,4,W,,
1053,111,1,D,,
1471,111,2,D,,
2559,111,3,D,,
2988,111,4,D,,
383,111,1,W,,
671,111,2,W,,
1694,111,3,W,,
2226,111,4,W,,
1035,112,1,D,,
1346,112,2,D,,
2593,112,3,D,,
2907,112,4,D,,
319,112,1,W,,
735,112,2,W,,
1783,112,3,W,,
2048,112,4,W,,
1005,113,1,D,,
1237,113,2,D,,
2533,113,3,D,,
2914,113,4,D,,
3,113,1,W,,
454,113,2,W,,
1604,113,3,W,,
2029,113,4,W,,
778,114,1,D,,
1291,114,2,D,,
2563,114,3,D,,
2710,114,4,D,,
157,114,1,W,,
499,114,2,W,,
1867,114,3,W,,
2004,114,4,W,,
994,115,1,D,,
1405,115,2,D,,
2372,115,3,D,,
2698,115,4,D,,
305,115,1,W,,
755,115,2,W,,
1736,115,3,W,,
2249,115,4,W,,
985,116,1,D,,
1366,116,2,D,,
2658,116,3,D,,
2961,116,4,D,,
254,116,1,W,,
536,116,2,W,,
1791,116,3,W,,
2082,116,4,W,,
774,117,1,D,,
1325,117,2,D,,
2566,117,3,D,,
2799,117,4,D,,
92,117,1,W,,
666,117,2,W,,
1560,117,3,W,,
2281,117,4,W,,
1148,118,1,D,,
1217,118,2,D,,
2495,118,3,D,,
2880,118,4,D,,
163,118,1,W,,
475,118,2,W,,
1670,118,3,W,,
2174,118,4,W,,
1065,119,1,D,,
