,Site,Year,Latitude,Longitude,Elevation,Decision,MAT.weath,MAP.weath,CMD.weath,MAT.weath.1,MAP.weath.1,CMD.weath.1,log.MAP.weath,log.MAP.weath.1,MAT.clim,MAP.clim,CMD.clim,log.MAP.clim,CMD.anom,MAT.anom,MAP.anom,CMD.anom.1,MAT.anom.1,MAP.anom.1,CMD.clim.s,MAT.clim.s,MAP.clim.s,CMD.weath.s,MAT.weath.s,MAP.weath.s,CMD.anom.s,MAT.anom.s,MAP.anom.s,CMD.anom.1.s,MAT.anom.1.s,MAP.anom.1.s
30,S15,2012,43.37876,-122.952072,1168,Included,10.04166667,206.5833333,357,9.883333333,250.6666667,336,5.330703882,5.524124035,10.26194444,212.3166667,333.0333333,5.358078871,23.96666667,-0.220277778,-0.027374989,2.966666667,-0.378611111,0.166045164,-2.397877169,-0.770456443,1.617545527,-2.187126109,-1.043296884,1.637987055,0.333482247,-0.91296511,0.554984021,0.019387419,-1.004886965,1.486767423
42,S15,2013,43.37876,-122.952072,1168,Unavailable,10.83333333,217.1666667,331,10.04166667,206.5833333,357,5.380665108,5.330703882,10.26194444,212.3166667,333.0333333,5.358078871,-2.033333333,0.571388889,0.022586237,23.96666667,-0.220277778,-0.027374989,-2.397877169,-0.770456443,1.617545527,-2.324941557,-0.695415004,1.707416763,-0.026700349,0.063751789,0.732326911,0.306536094,-0.800036756,0.759991615
54,S15,2014,43.37876,-122.952072,1168,Included,10.825,167.9166667,341,10.83333333,217.1666667,331,5.123467825,5.380665108,10.26194444,212.3166667,333.0333333,5.358078871,7.966666667,0.563055556,-0.234611046,-2.033333333,0.571388889,0.022586237,-2.397877169,-0.770456443,1.617545527,-2.271935615,-0.699076919,1.349996942,0.111831419,0.053470558,-0.180623261,-0.048981313,0.224214286,0.947720812
66,S15,2015,43.37876,-122.952072,1168,Included,12.14166667,173.5,492,10.825,167.9166667,341,5.156177599,5.123467825,10.26194444,212.3166667,333.0333333,5.358078871,158.9666667,1.879722222,-0.201901272,7.966666667,0.563055556,-0.234611046,-2.397877169,-0.770456443,1.617545527,-1.471545899,-0.120494425,1.395452794,2.203661113,1.67790498,-0.064516302,0.087756151,0.213432696,-0.018697425
78,S15,2016,43.37876,-122.952072,1168,Remove,11.7,240.0833333,435,12.14166667,173.5,492,5.480986085,5.156177599,10.26194444,212.3166667,333.0333333,5.358078871,101.9666667,1.438055556,0.122907214,158.9666667,1.879722222,-0.201901272,-2.397877169,-0.770456443,1.617545527,-1.773679765,-0.314575895,1.84683,1.414030036,1.132999763,1.088427303,2.152491865,1.916923904,0.104209483
7,S16,2010,41.80979,-123.118874,1092,Included,10.76666667,71.5,554,11.3,53.25,695,4.26969745,3.974997805,11.17444444,80.50833333,655.0666667,4.388360699,-101.0666667,-0.407777778,-0.118663249,39.93333333,0.125555556,-0.413362894,-0.629589756,-0.340254554,0.083251528,-1.142909062,-0.724710321,0.163536297,-1.398626623,-1.144292797,0.230946255,0.524860246,-0.352600774,-0.690357108
19,S16,2011,41.80979,-123.118874,1092,Unavailable,10.9,91,565,10.76666667,71.5,554,4.510859507,4.26969745,11.17444444,80.50833333,655.0666667,4.388360699,-90.06666667,-0.274444444,0.122498808,-101.0666667,-0.407777778,-0.118663249,-0.629589756,-0.340254554,0.083251528,-1.084602526,-0.666119688,0.498672415,-1.246241678,-0.979793109,1.086977619,-1.403138003,-1.042622529,0.416976173
31,S16,2012,41.80979,-123.118874,1092,Included,11.10833333,75.41666667,619,10.9,91,565,4.323028294,4.510859507,11.17444444,80.50833333,655.0666667,4.388360699,-36.06666667,-0.066111111,-0.065332405,-90.06666667,-0.274444444,0.122498808,-0.629589756,-0.340254554,0.083251528,-0.798370442,-0.574571825,0.237648669,-0.498170132,-0.722762346,0.420249978,-1.252726792,-0.870117091,1.323142082
43,S16,2013,41.80979,-123.118874,1092,Included,11.79166667,74.5,640,11.10833333,75.41666667,619,4.310799125,4.323028294,11.17444444,80.50833333,655.0666667,4.388360699,-15.06666667,0.617222222,-0.077561573,-36.06666667,-0.066111111,-0.065332405,-0.629589756,-0.340254554,0.083251528,-0.687057965,-0.274294835,0.220654138,-0.20725342,0.120298557,0.376841194,-0.514344484,-0.600577343,0.617366705
55,S16,2014,41.80979,-123.118874,1092,Included,11.925,57,723,11.79166667,74.5,640,4.043051268,4.310799125,11.17444444,80.50833333,655.0666667,4.388360699,67.93333333,0.750555556,-0.345309431,-15.06666667,0.617222222,-0.077561573,-0.629589756,-0.340254554,0.083251528,-0.247108651,-0.215704203,-0.151427519,0.942560253,0.284798245,-0.573559407,-0.227195809,0.283513031,0.571415631
