"","ID_Year","Site","Year","Drought","PC1","PC2","PC3","PC4","PC5","PC6"
"43","S18_2012","S18",2012,"W",0.87231519675756,0.0881595311413304,1.33610070475699,-0.133824060043773,0.0129685727018398,-0.136967640113496
"44","S18_2013","S18",2013,"W",-0.481802960015,-0.330859196969393,1.24226088251111,-0.420073774846958,0.202904284271417,-0.130621596838538
"45","S18_2014","S18",2014,"W",0.285024203038069,-0.423475606673214,1.39293096064851,-0.519299838770728,-0.0314220797338793,0.00725838702620618
"46","S18_2016","S18",2016,"W",0.0786283415853482,-0.267012622549717,1.44962593973756,-0.474220031178702,0.417649086730877,-0.214698450688497
"47","S29_2010","S29",2010,"W",-0.32458410098036,-0.675718051510247,1.12349050006751,-0.427978282036938,0.0994708268831176,-0.068451866863731
"48","S29_2013","S29",2013,"W",-0.931346735278327,-0.798304756285919,0.8841690137553,-0.865485828679793,-0.64503587066401,-0.350642167950752
"49","S29_2014","S29",2014,"W",0.516646196940988,-0.167233968330161,1.08233302329519,-0.428582548893464,0.132721867978495,-0.102114986132005
"50","S29_2015","S29",2015,"W",2.9157885676773,0.909830742807491,1.0522605005977,-0.65925102944188,-0.0307680022199356,-0.385175620670796
"51","S29_2016","S29",2016,"W",-0.313212399385641,-0.350062877365062,1.13870005443567,9.94783503142638e-05,-0.0304595854624222,0.143021343976688
"52","S32_2010","S32",2010,"W",0.407632015084967,0.371728780185014,0.645497846289359,0.00659651148776277,-0.0746128727807557,-0.306830523814274
"53","S32_2012","S32",2012,"W",0.185526415705988,0.116018403585789,0.579332396670129,-0.116271934610413,-0.0964256849968708,-0.418835718912209
"54","S32_2014","S32",2014,"W",0.416912457819971,-0.389368812136736,1.07765607885713,-0.796747141715397,-0.0145026859156614,-0.301604262403805
"55","S32_2015","S32",2015,"W",0.462837550289293,-0.222305370829498,0.81347187278985,-0.285981250544087,-0.146937142025581,-0.314378359296331
"56","S32_2016","S32",2016,"W",0.593928942832282,-0.256973950788317,1.00239992609757,0.109448733996574,-0.143470938081198,-0.433958452331422
"57","S36_2011","S36",2011,"W",-0.67317959538111,-0.327738500465281,0.775765565976184,-0.545706194508122,0.187118562637003,0.118830676056423
"58","S36_2012","S36",2012,"W",-0.338059055608527,0.232605787373625,0.763407949437535,0.00480342917191642,0.270368203856504,0.109819261507509
"59","S36_2014","S36",2014,"W",-1.14209130990195,-0.469023756011765,0.727282739868834,-0.458024236276915,-0.275813516874354,0.257153830069268
"60","S36_2015","S36",2015,"W",-1.07406430811234,0.13126587071265,0.819258463290868,0.0456967293926215,0.153663413327553,0.192523319294957
"61","S36_2016","S36",2016,"W",-0.219273330937635,0.528872125944496,0.795947210364393,-0.186182601937438,0.0808755577436511,0.271035271101629
